16777216	16777472	AU
16777472	16778240	CN
16778240	16779264	AU
16779264	16781312	CN
16781312	16785408	JP
16785408	16793600	CN
16793600	16809984	JP
16809984	16842752	TH
16842752	16843008	CN
16843008	16843264	AU
16843264	16859136	CN
16859136	16875520	JP
16875520	16908288	TH
16908288	16909056	CN
16909056	16909312	AU
16909312	16941056	CN
16941056	16973824	TH
16973824	17039360	CN
17039360	17039616	AU
17039616	17072128	CN
17072128	17104896	TH
17104896	17170432	JP
17170432	17301504	IN
17301504	17367040	CN
17367040	17432576	MY
17432576	17435136	CN
17435136	17435392	AU
17435392	17465344	CN
17465344	17498112	TH
17498112	17563648	KR
17563648	17825792	CN
17825792	18087936	KR
18087936	18153472	TH
18153472	18219008	JP
18219008	18350080	IN
18350080	18874368	CN
18874368	18907136	MY
18907136	18923520	SG
18923520	18939904	HK
18939904	19005440	JP
19005440	19136512	TW
19136512	19202048	HK
19202048	19267584	PH
19267584	19398656	IN
19398656	19726336	AU
19726336	19791872	CN
19791872	19922944	TH
19922944	20185088	CN
20185088	20447232	VN
20447232	20971520	CN
20971520	21102592	HK
21102592	21233664	JP
21233664	21495808	CN
21495808	22020096	JP
22020096	23068672	CN
23068672	24117248	KR
24117248	24379392	JP
24379392	24641536	CN
24641536	27262976	AU
27262976	28311552	TW
28311552	28442624	KR
28442624	28540928	AU
28540928	28573696	TH
28573696	28966912	CN
28966912	29097984	IN
29097984	29884416	CN
29884416	29949952	TW
29949952	30015488	KR
30015488	30408704	CN
30408704	33554432	KR
33554432	34603008	FR
34603008	35127296	EU
35127296	35651584	GB
35651584	36700160	IT
36700160	36962304	AE
36962304	37224448	IL
37486592	37748736	RU
37748736	38273024	SE
38273024	38797312	KZ
38797312	39059456	PT
39059456	39321600	GR
39321600	39583744	SA
39583744	39845888	RU
39845888	40370176	GB
40370176	40894464	DK
40894464	41418752	IT
41418752	41943040	GB
41943040	42205184	DK
42205184	42467328	KZ
42467328	42991616	ES
42991616	43253760	IR
43253760	43515904	NO
43515904	43778048	ES
43778048	44040192	IT
44040192	45088768	DE
45088768	46137344	IR
46137344	46661632	IT
46661632	47710208	DE
47710208	48234496	GB
48234496	49283072	IT
49283072	49807360	DE
49807360	50331648	SE
50331648	83886080	US
83886080	83951616	SY
83951616	83959808	UA
83959808	83961856	ES
83961856	83963904	CY
83963904	83965952	RU
83965952	83968000	CZ
83968000	83976192	DE
83976192	83978240	CH
83978240	83980288	IQ
83980288	83982336	CH
83982336	84017152	DE
84017152	84021248	IT
84021248	84023296	GB
84023296	84025344	ES
84025344	84033536	RU
84033536	84037632	NL
84037632	84039680	TR
84039680	84041728	ES
84041728	84049920	GB
84049920	84082688	RO
84082688	84148224	RU
84148224	84410368	DE
84410368	84434944	RU
84434944	84443136	IT
84443136	84451328	LB
84451328	84457472	RU
84457472	84459520	ES
84459520	84471808	RU
84471808	84473856	IQ
84475904	84545536	DE
84545536	84549632	GB
84549632	84551680	GE
84551680	84557824	DE
84557824	84574208	NL
84574208	84576256	FR
84576256	84582400	GB
84582400	84590592	DE
84590592	84592640	NL
84592640	84594688	ES
84594688	84598784	DE
84598784	84600832	IQ
84600832	84602880	GB
84602880	84606976	AZ
84606976	84609024	AT
84609024	84615168	GB
84615168	84617216	IT
84617216	84619264	PS
84619264	84621312	DE
84621312	84623360	GR
84623360	84627456	RU
84627456	84631552	GB
84631552	84639744	IT
84639744	84672512	TR
